IdMesta,Naziv
710776,Горњи Присјан
710784,Градиште
710792,Гуњетина
710806,Дадинце
710814,Добровиш
710822,Доња Ломница
710849,Доња Лопушња
710857,Доње Гаре
710865,Доњи Дејан
710873,Доњи Присјан
710881,Златићево
710890,Јаворје
710903,Јаковљево
710911,Јастребац
710920,Козило
710938,Комарица
710946,Конопница
710954,Крушевица
710962,Кукавица
710989,Ладовица
710997,Липовица
711004,Орашје
711012,Острц
711039,Пржојне
711047,Прилепац
711055,Равна Гора
711063,Равни Дел
711071,Самарница
711080,Свође
711098,Скрапеж
711101,Средор
711110,Стајковце
711128,Страњево
711136,Тегошница
711144,Црна Бара
711152,Црнатово
711179,Шишаве
711187,Александровац
711195,Бабина Пољана
711209,Барбарушинце
711217,Барелић
711225,Бели Брег
711233,Бојин Дел
711241,Бресница
711250,Бујковац
711268,Буљесовце
711276,Буштрање
711284,Вишевце
711292,Власе
711306,Врање
711314,Врањска Бања
711322,Вртогош
711349,Големо Село
711357,Горња Отуља
711365,Горње Жапско
711373,Горње Пуношевце
711381,Горње Требешиње
711390,Горњи Нерадовац
711403,Градња
711411,Гумериште
711420,Давидовац
711438,Добрејанце
711446,Доња Отуља
711454,Доње Жапско
711462,Доње Пуношевце
711489,Доње Требешиње
711497,Доњи Нерадовац
711519,Драгобужде
711527,Дреновац
711535,Дубница
711543,Дуга Лука
711551,Дулан
711560,Дупељево
711578,Златокоп
711586,Изумно
711594,Катун
711608,Клашњице
711616,Клисурица
711624,Копањане
711632,Корбевац
711659,Корбул
711667,Коћура
711675,Крива Феја
711683,Крушева Глава
711691,Кумарево
711705,Купининце
711713,Лалинце
711721,Лева Река
711730,Лепчинце
711748,Липовац
711756,Луково
711764,Марганце
711772,Мечковац
711799,Мијаковце
711802,Мијовце
711829,Миланово
711837,Миливојце
711845,Моштаница
711853,Наставце
711861,Несврта
711870,Нова Брезовица
711888,Обличка Сена
711896,Остра Глава
711900,Павловац
711918,Паневље
711926,Пљачковица
711934,Првонек
711942,Превалац
711969,Преображење
711977,Ранутовац
711985,Ратаје
711993,Рибнице
712019,Ристовац
712027,Рождаце
712035,Русце
712043,Себеврање
712051,Сикирје
712060,Сливница
712078,Смиљевић
712086,Содерце
712094,Средњи Дел
712108,Станце
712116,Стара Брезовица
712124,Стари Глог
712132,Стрешак
712159,Стропско
712167,Струганица
712175,Студена
712183,Суви Дол
712191,Сурдул
712205,Тесовиште
712213,Тибужде
712221,Топлац
712230,Трстена
712248,Тумба
712256,Ћуковац
712264,Ћурковица
712272,Урманица
712299,Ушевце
712302,Црни Врх
712329,Црни Луг
712337,Честелин
712345,Вранеши
712353,Врњачка Бања
712361,Врњци
712370,Вукушица
712388,Гоч
712396,Грачац
712400,Липова
712418,Ново Село
712426,Отроци
712434,Подунавци
712442,Рсавци
712469,Руђинци
712477,Станишинци
712485,Штулац
712493,Велики Вртоп
712507,Велики Крчимир
712515,Виландрица
712523,Гаре
712531,Гаџин Хан
712540,Горње Власе
712558,Горње Драговље
712566,Горњи Барбеш
712574,Горњи Душник
712582,Гркиња
712604,Доње Драговље
712612,Доњи Барбеш
712639,Доњи Душник
712647,Дуга Пољана
712655,Дукат
712663,Јагличје
712671,Калетинац
712680,Копривница
712698,Краставче
712701,Личје
712710,Мали Вртоп
712728,Мали Крчимир
712736,Марина Кутина
712744,Миљковац
712752,Ново Село
712779,Овсињинац
712787,Равна Дубрава
712795,Семче
712809,Сопотница
712817,Тасковићи
712825,Топоница
712833,Ћелије
712841,Чагровац
712850,Шебет
712868,Барич
712876,Бикиње
712884,Браничево
712892,Брњица
712906,Винци
712914,Војилово
712922,Голубац
712949,Двориште
712957,Добра
712965,Доња Крушевица
712973,Душманић
712981,Житковица
712990,Клење
713007,Кривача
713015,Кудреш
713023,Малешево
713031,Миљевић
713040,Мрчковац
713058,Поникве
713066,Радошевац
713074,Сладинац
713082,Снеготин
713104,Усије
713112,Шувајић
713139,Бело Поље
713147,Бершићи
713155,Богданица
713163,Бољковци
713171,Брајићи
713180,Брђани
713198,Брезна
713201,Брезовица
713210,Брусница
713228,Варнице
713236,Велереч
713244,Враћевшница
713252,Врнчани
713279,Гојна Гора
713287,Горња Врбава
713295,Горња Црнућа
713309,Горњи Бањани
713317,Горњи Бранетићи
713325,Горњи Милановац
713333,Грабовица
713341,Давидовица
713350,Доња Врбава
713368,Доња Црнућа
713376,Доњи Бранетићи
713384,Драгољ
713392,Дренова
713406,Дружетићи
713414,Заграђе
713422,Јабланица
713449,Калиманићи
713457,Каменица
713465,Клатичево
713473,Коштунићи
713481,Крива Река
713490,Леушићи
713503,Липовац
713511,Лозањ
713520,Лочевци
713538,Луњевица
713546,Љеваја
713554,Љутовница
713562,Мајдан
713589,Мутањ
713597,Накучани
713619,Неваде
713627,Озрем
713635,Полом
713643,Прањани
713651,Прњавор
713660,Рељинци
713678,Рудник
713686,Ручићи
713694,Сврачковци
713708,Семедраж
713716,Синошевићи
713724,Срезојевци
713732,Таково
713759,Теочин
713767,Трудељ
713775,Угриновци
713783,Церова
713791,Шарани
713805,Шилопај
713813,Балајнац
713821,Баре
713830,Бељајка
713848,Богава
713856,Брестово
713864,Буковац
713872,Велики Поповић
713899,Витанце
713902,Грабовица
713929,Двориште
713937,Деспотовац
713945,Војник
713953,Жидиље
713961,Златово
713970,Јасеново
713988,Језеро
713996,Јеловац
714003,Липовица
714011,Ломница
714020,Маквиште
714038,Медвеђа
714046,Милива
714054,Пањевац
714062,Плажане
714089,Поповњак
714097,Равна Река
714119,Ресавица
714127,Ресавица (село)
714135,Сењски Рудник
714143,Сладаја
714151,Стењевац
714160,Стрмостен
714178,Трућевац
714186,Баљев Дол
714194,Бањски Дол
714208,Барје
714216,Бачево
714224,Било
714232,Браћевци
714259,Бребевница
714267,Верзар
714275,Височки Одоровци
714283,Влковија
714291,Врапча
714305,Гојин Дол
714313,Горња Невља
714321,Горњи Криводол
714330,Градиње
714348,Грапа
714356,Гуленовци
714364,Димитровград
714372,Доња Невља
